Toan,Ly,Hoa,Anh,Result
5.621780831931537,8.652081086148439,9.5832100904704,5.717189483445654,Pass
9.655000144869414,9.272639099464453,9.677500039018112,7.503017529096472,Pass
8.123957592679837,5.226024324803047,9.40405073154314,6.207770233440616,Pass
7.190609389379256,3.770363471693737,5.591110901788111,6.819317525211544,Fail
4.092130483097056,4.595546137793592,3.108196315702072,9.590253661435677,Fail
4.091961642353418,5.989754520383794,9.498229938114077,5.70271846460542,Fail
3.406585285177396,8.72610336145745,5.997289038221201,9.7283339467674,Pass
9.063233020424546,9.025114082794405,9.766583733305687,9.337454493692446,Pass
7.207805082202461,3.048664913718335,9.74533983962477,4.3705379435250755,Fail
7.956508044572319,6.57523111804296,8.971066188271521,3.485529106126158,Pass
3.144091460070617,5.921877022041453,5.061142244487099,3.7054460096419866,Fail
9.78936896513396,4.554754673295111,5.695684100213477,3.127552779560848,Fail
8.827098485602953,3.8390575713357795,8.957956700617999,3.6611007252914987,Fail
4.486373774747933,5.363306199825396,5.218454036093943,7.781047413914498,Fail
4.272774770449704,9.600367927387634,4.186449226802647,3.498320539221603,Fail
4.283831568974037,5.262420524145287,6.897608837208451,5.232829412056329,Fail
5.1296957007167645,6.631534352203563,9.553083419125468,8.914127176786181,Pass
6.673295021425664,7.921132712266245,7.872208576724811,3.162903550150781,Fail
6.023615130494811,5.545407216655057,6.990428190625555,8.70127937812255,Pass
5.038603981386293,9.802474579046724,3.68023545639538,4.972983423413799,Fail
7.282970263056656,9.737131064594779,7.305050586894188,3.827153793351594,Pass
3.9764570245642927,4.762476070777549,9.930376950729844,7.877160157549055,Pass
5.045012539746527,6.480739541246698,3.9805881066556683,7.402599927459188,Fail
5.5645329030558415,5.106148168717388,6.628307566546157,9.14230409468937,Pass
6.192489889519251,4.993883460642273,9.141611503495689,8.1454973066272,Pass
8.496231729751095,3.25820863148173,8.185380324279432,8.624366512693939,Pass
4.397716475108519,7.266950337859278,7.879110186966876,4.974242007999146,Fail
6.599641068895281,6.51875316260203,7.917388587909765,4.24207680645806,Fail
7.146901982034297,3.3603512587499256,5.516438058538286,8.254303261486008,Fail
3.325152889039984,4.95052524965628,5.055142909851454,8.647843174870848,Fail
7.252813963310069,9.357861201766575,8.665528088349596,9.933535994004714,Pass
4.193668865811041,4.676933234668807,8.670793762754265,5.888323738379985,Fail
3.4553611508969566,4.014264104638562,9.069506230060725,5.604126600549482,Fail
9.642198760773333,6.426169321942941,9.392683867895299,8.434890725193977,Pass
9.759424231521916,9.899553178774205,6.579396792026564,5.385624781771125,Pass
8.658781436815229,4.694386900580502,6.510614062810397,9.515301279224953,Pass
5.1322963842135945,7.70494883184115,8.588066252767426,9.008889262901082,Pass
